,station_id,contract_name,station_name,station_address,has_payment_terminal,is_bonus_station,station_status,last_update,is_connected,allows_overflow,shape,overflowStands,position_latitude,position_longitude,totalStands_capacity,totalStands_availabilities.bikes,totalStands_availabilities.stands,totalStands_availabilities.mechanicalBikes,total_electrical_bikes,total_internal_battery_bikes,total_removable_battery_bikes,main_stand_capacity,main_stand_available_bikes,main_stand_available_stands,main_stand_mechanical_bikes,main_stand_electrical_bikes,main_stand_internal_battery_bikes,main_stand_removable_battery_bikes
30,63,dublin,FENIAN STREET,Fenian Street,False,False,OPEN,2024-12-25 13:42:38,True,False,,,53.341428,-6.24672,35,23,12,11,12,0,12,35,23,12,11,12,0,12
31,113,dublin,MERRION SQUARE SOUTH,Merrion Square South,False,False,OPEN,2024-12-25 13:43:28,True,False,,,53.338614,-6.248606,40,11,18,7,4,0,4,40,11,18,7,4,0,4
32,91,dublin,SOUTH DOCK ROAD,South Dock Road,False,False,OPEN,2024-12-25 13:44:09,True,False,,,53.341833,-6.231291,30,20,10,13,7,0,7,30,20,10,13,7,0,7
33,99,dublin,CITY QUAY,City Quay,False,False,OPEN,2024-12-25 13:50:30,True,False,,,53.346637,-6.246154,30,24,6,8,16,0,16,30,24,6,8,16,0,16
34,9,dublin,EXCHEQUER STREET,Exchequer Street,False,False,OPEN,2024-12-25 13:47:06,True,False,,,53.343034,-6.263578,24,10,14,9,1,0,1,24,10,14,9,1,0,1
35,67,dublin,THE POINT,The Point,False,False,OPEN,2024-12-25 13:50:38,True,False,,,53.346867,-6.230852,40,23,17,17,6,0,6,40,23,17,17,6,0,6
36,116,dublin,BROADSTONE,Broadstone,False,False,OPEN,2024-12-25 13:45:33,True,False,,,53.3547,-6.272314,30,19,11,7,12,0,12,30,19,11,7,12,0,12
37,55,dublin,HATCH STREET,Hatch Street,False,False,OPEN,2024-12-25 13:46:22,True,False,,,53.33403,-6.260714,36,16,20,9,7,0,7,36,16,20,9,7,0,7
38,62,dublin,LIME STREET,Lime Street,False,False,OPEN,2024-12-25 13:41:29,True,False,,,53.346026,-6.243576,40,11,29,4,7,0,7,40,11,29,4,7,0,7
39,5,dublin,CHARLEMONT PLACE,Charlemont Street,False,False,OPEN,2024-12-25 13:50:17,True,False,,,53.330662,-6.260177,40,16,24,10,6,0,6,40,16,24,10,6,0,6
40,97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,False,False,OPEN,2024-12-25 13:41:41,True,False,,,53.342113,-6.310015,40,14,26,5,9,0,9,40,14,26,5,9,0,9
41,61,dublin,HARDWICKE PLACE,Hardwicke Place,False,False,OPEN,2024-12-25 13:45:58,True,False,,,53.357043,-6.263232,25,10,15,7,3,0,3,25,10,15,7,3,0,3
42,77,dublin,WOLFE TONE STREET,Wolfe Tone Street,False,False,OPEN,2024-12-25 13:42:56,True,False,,,53.348875,-6.267459,29,16,13,7,9,0,9,29,16,13,7,9,0,9
43,73,dublin,FRANCIS STREET,Francis Street,False,False,OPEN,2024-12-25 13:42:59,True,False,,,53.342081,-6.275233,30,8,22,4,4,0,4,30,8,22,4,4,0,4
44,4,dublin,GREEK STREET,Greek Street,False,False,OPEN,2024-12-25 13:46:36,True,False,,,53.346874,-6.272976,20,19,1,9,10,0,10,20,19,1,9,10,0,10
45,49,dublin,GUILD STREET,Guild Street,False,False,OPEN,2024-12-25 13:51:00,True,False,,,53.347932,-6.240928,40,36,4,26,10,0,10,40,36,4,26,10,0,10
